" and ","e"
"Shipping address selection is not applicable","Seleção de endereço de envio não aplicável"
"Shipping Address: ","Endereço de Envio:"
"Shipping method must be specified","Método de Envio tem que ser Especificado"
"Shipping method must be specified.","A forma de envio tem de ser especificada."
"Shipping method selection is not applicable","Seleção método de envio não aplicável"
"Shipping origin","Origem Envio"
"Shipping Price","Preço de envio"
"Shopping Cart","Carrinho de Compras"
"Shopping Cart from %s","Carrinho de Compras de %s"
"Shopping Cart Price Rules","Regras de Preços no Carrinho de Compras"
"Show by","Mostrar por"
"Show confirmation page: ","Mostrar Página de Confirmação:"
"Show Report for","Mostrar Relatório para"
"Show reviews","Mostrar análises"
"Silent Post URL:","Silent Post URL:"
"Sitemap Information","Informação do mapa do site"
"Size for %s","Tamanho para %s"
"Skip category selection","Saltar a seleção de categoria"
"SKU","SKU"
"SKU:","SKU:"
"so url rewrite is not possible.","assim rescritas de url não é possível"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Alguns itens nesta encomenda tem diferentes tipos de faturação e envio. Pode criar o envio após a criação da fatura."
"Some of the ordered items do not exist in the catalog anymore and will be removed if you try to edit the order.","Alguns dos itens deixaram de existir no catálogo e serão removidos se tentar editar a encomenda."
"Some of the ordered items don't exist in the catalog anymore and will be removed if you try to edit the order.","Alguns dos itens encomendados já não existem no catálogo e serão removidos se tentar editar a encomenda."
"Some other FAQ","Outras Perguntas Frequentes"
"Sorry, this feature is coming soon...","Desculpe, esta característica estará disponível brevemente"
"SORT BY:","ORDENAR POR:"
"Sort Order","Ordenar Encomenda"
"Special Price:","Preço Especial:"
"Specific Countries","Países Específicos"
"Specified","Especificado"
"Specified profile does not exist.","O perfil especificado não existe."
"Spreadsheet Name:","Nome Folha de Cálculo"
"SSL Error: Invalid or self-signed certificate","Errro SSL: Inválido ou certificado auto-assinado"
"Stability","Estabilidade"
"Staging Store: ","Loja Experimental:"
"Staging Website: ","Website Experimental:"
"Start Date","Data início"
"Start/Reset Validation...","Iniciar/Reiniciar Validação..."
"Starting profile execution, please wait...","A iniciar execução perfil, por favor aguarde..."
"State/Province:","Estado/Província:"
"Static Blocks","Blocos Estáticos"
"Status","Estado"
"Status:","Estado:"
"Stock notification was saved successfully","Notificação de disponibilidade guardada corretamente"
"Stock notification was saved.","Notificação de stock guardada."
"Stock Quantity:","Quantidade em Inventário:"
"Store","Loja"
"Store Email Addresses Section","Secção de Endereço de Email"
"Store View","Vista da Loja"
"store(%s) scope","Âmbito loja (%s)"
"Store:","Loja:"
"Stores","Lojas"
"Subject","Assunto"
"Submit","Submeter"
"Subpackage","Subpacote"
"Subpackage can't be conflicting","Os subpacotes não podem gerar conflitos"
"Subpackage cannot be conflicting.","O sub-pacote não pode gerar conflitos"
"Subpackages","Subpacotes"
"Subtotal","Sub-Total"
"Subtotal Amount","Montante Sub-total"
"Summary","Sumário"
"Summary:","Sumário:"
"Switch/Solo card issue number: %s","Número de Emissão Cartão Switch/Solo: %s"
"Switch/Solo card start Date: %s/%s","Data de Início para cartão Switch/solo: %s/%s"
"Switch/Solo Only","Apenas Switch/Solo"
"Switch/Solo/Maestro Only","Apenas Switch/Solo/Maestro"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic) número cartão: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Domestic) data início cartão: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(UK Domestic) Apenas"
"Synchronization is required.","Sincronização necessária"
"Synchronization of media storages has been successfully completed.","Sincronização de unidades de armazenamento concluída com sucesso."
"Synchronize","Sincronizar"
"Synchronizing %s to %s","Sincronizar %s para %s"
"Synchronizing...","A Sincronizar..."
"System","Sistema"
"System busy","Sistema Ocupado"
"System Section","Secção de Sistema"
"T-Shirts","T-Shirts"
"Tag was successfully deleted","A Etiqueta foi corretamente removida"
"Tag was successfully saved","A Etiqueta foi corretamente guardada"
"Tags","Etiquetas"
"Target","Destino"
"Target Path","Destino"
"Tax","Imposto"
"Tb","Tb"
"Tell a Friend","Informar um Amigo"
"Template","Template"
"Template Content","Conteúdo do Template"
"Template Information","Informação do Template"
"Template Name","Nome do Template"
"Template Styles","Estilos de Template"
"Template Subject","Assunto Template"
"Template Type","Tipo de Template"
"Temporary (302)","Temporário (302)"
"Terms and Conditions","Termos e Condições"
"Text","Texto"
"The account has been saved.","A conta foi guardada."
"The archive can be uncompressed with <a href="%s">%s</a> on Windows systems","O arquivo pode ser descomprimido com <a href="%s">%s</a> em Sistemas Windows"
"The attribute set has been removed.","O grupo de atributos foi removido."
"The backup has been created.","A cópia de segurança foi criada."
"The billing agreement has been canceled.","As condições de faturação foi cancelado."
"The billing agreement has been deleted.","As condições de faturação foi removido."
"The cache storage has been flushed.","O cache de armazenamento foi limpo."
"The card has failed verification with the issuer bank.","O cartão falhou a validade junto da entidade emissora."
"The carrier needs to be specified.","A transportadora necessita de ser especificada."
"The catalog index has been rebuilt.","O índice do Catálogo foi reconstruído."
"The catalog rewrites have been refreshed.","As rescritas do catálogo foram atualizadas."
"The Catalog Rewrites were refreshed.","A Rescritas do Catálogo foram atualizadas."
"The CatalogInventory Stock Status has been rebuilt.","O Índice de Inventário do Catálogo foi reconstruído."
"The Comment Text field cannot be empty.","O campo de texto do comentário não pode ficar em branco."
"The configuration has been saved.","A configuração foi guardada."
"The credit memo has been canceled.","A nota de crédito foi cancelada."
"The credit memo has been created.","A nota de crédito foi criada."
"The credit memo has been voided.","A nota de crédito foi anulada."
"The custom variable has been deleted.","A variável personalizada foi removida."
"The custom variable has been saved.","A variável personalizada foi guardada."
"The customer has been deleted.","O Cliente foi removido."
"The customer has been saved.","O Cliente foi guardado."
"The design change has been deleted.","A alteração ao design foi removida."
"The design change has been saved.","A alteração ao design foi guardada."
"The email address is empty.","O endereço de email está vazio."
"The email template has been deleted.","O modelo de email foi removido."
"The email template has been saved.","O modelo de email foi guardado."
"The flat catalog category has been rebuilt.","As categorias do catálogo fixo foram reconstruídas."
"The Flat Catalog Product was rebuilt","O Catálogo de Produtos Fixo foi reconstruído."
"The group node name must be specified with field node name.","O nome do grupo do nó deve ser especificado com o nome do nó."
"The image cache was cleaned.","O cache das imagens foi limpo."
"The image cache was cleared.","O cache das imagens foi limpo."
"The information in this tab has been changed.","A informação neste separador foi alterada"
"The invoice and shipment have been created.","A expedição e a fatura foram criados."
"The invoice and the shipment  have been created. The shipping label cannot be created at the moment.","A fatura e o envio foram criados. O rótulo de envio não pode ser criado de momento."
"The invoice has been canceled.","A fatura foi cancelada."
"The invoice has been captured.","A fatura foi cativada."
"The invoice has been created.","A fatura foi criada."
"The invoice has been voided.","A fatura foi anulada."
"The invoice no longer exists.","A fatura já não existe"
"The JavaScript/CSS cache has been cleaned.","O cache de JavaScript/CSS foi limpo."
"The JavaScript/CSS cache has been cleared.","O cache de JavaScript/CSS foi limpo."
"The Layered Navigation indexing has been queued.","O índice da Navegação por Atributos foi colocado em lista de espera."
"The Layered Navigation indexing queue has been canceled.","O índice da Navegação por Atributos foi cancelado."
"The Layered Navigation indices were refreshed.","O índice da Navegação por Atributos foi atualizado."
"The Layered Navigation process has been queued to be killed.","O índice da Navegação por Atributos foi colocado em lista de espera para ser parado."
"The Magento cache storage has been flushed.","O cache de armazenamento do Magento foi limpo."
"The order does not allow creating an invoice.","A encomenda não permite a criação de fatura."
"The order no longer exists.","A encomenda já não existe."
"The poll has been deleted.","A sondagem foi removida"
"The poll has been saved.","A sondagem foi guardada."
"The profile has been deleted.","O perfil foi removido."
"The profile has been saved.","O perfil foi guardado."
"The profile has been updated.","O perfil foi atualizado."
"The profile has no changes.","Não existem alterações no perfil."
"The profile you are trying to save no longer exists","O perfil que está a tentar guardar já não existe."
"The rating has been deleted.","A classificação foi removida."
"The rating has been saved.","A classificação foi guardada"
"The role has been deleted.","O nível de acesso foi removido."
"The role has been saved.","O nível de acesso foi guardado."
"The role has been successfully saved.","O acesso foi guardado com sucesso."
"The role has beensuccessfully saved.","O nível de acesso foi guardado."
"The search index has been rebuilt.","O índice de pesquisa foi reconstruído."
"The shipment has been created.","O envio foi criado."
"The shipment has been created. The shipping label has been created","O envio foi criado. O rótulo para o envio também."
"The shipment has been created. The shipping label has been created.","O envio foi criado. O rótulo de envio foi criado."
"The shipment has been sent.","A expedição foi enviada."
"The tag has been deleted.","A etiqueta foi removida"
"The tag has been saved.","A tag foi guardada."
"The URL Rewrite has been deleted.","A Rescrita de URL foi removida."
"The URL Rewrite has been saved.","A Rescrita de URL foi guardada."
"The user has been deleted.","O utilizador foi eliminado."
"The user has been saved.","O utilizador foi guardado."
"Theme configurations are successfully reset.","Configurações Tema repostas com sucesso."
"Theme has been saved.","O Tema foi guardado"
"Theme label can't be empty","Legenda do tema não pode ficar vazia"
"Theme label:","Legenda Tema:"
"Themes JavaScript and CSS files combined to one file.","Ficheiros JavaScript e CSS do mesmo tema foram unificados"
"There has been wrong payment information submitted or time limit has expired. Please, try again.","A submetida informação de pagamento está incorreta ou expirou o tempo. Por favor tente novamente."
"There is an error in one of the option rows.","Existe um erro na listagem de opções."
"This account is","Esta conta está"
"This account is inactive.","Esta conta encontra-se inativa"
"This attribute set does not have attributes which we can use for configurable product","O grupo de atributos não contém atributos que possam ser utilizados num produto configurável."
"This attribute set don't have attributes which we can use for configurable product","Este grupo de atributos não contém atributos que possam ser utilizados num produto configurável"
"This attribute shares the same value in all the stores","Este atributo partilha o mesmo valor em todas as lojas"
"This Email template no longer exists.","O modelo de Email já não existe."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta é uma loja de demonstração. Qualquer encomenda realizada não será tida em consideração."
"This is a required field.","Este campo é obrigatório"
"This product is currently disabled","Este produto está inativo"
"This product is currently disabled.","Este produto está atualmente inativo."
"This report depends on timezone configuration. Once timezone is changed, the lifetime statistics need to be refreshed.","O relatório depende do fuso horário. Assim que o fuso for alterado, as estatísticas acumuladas necessitam de ser atualizadas."
"This Role no longer exists","O Nível de Acesso já não existe."
"This Role no longer exists.","O Nível de Acesso já não existe."
"This section is not allowed.","Esta secção não é permitida."
"This tab contains invalid data. Please solve the problem before saving.","Este separador contém dados inválidos. Por favor resolva o problema antes de guardar"
"This user no longer exists","Este utilizador já não existe"
"This user no longer exists.","Este utilizador já não se encontra ativo"
"Thumbnail","Miniatura"
"Time","Hora"
"Time selection:","Seleção Hora:"
"Time:","Hora:"
"Timeout limit for response from synchronize process was reached.","O tempo limite para resposta do processo de sincronização foi alcançado."
"Title bar","Barra de Título"
"To","Até"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","Para cancelar autorizações e pedidos de cobrança pendentes que já foram processados durante este pagamento clique em Cancelar."
"To use Payflow Link, you must configure your Payflow Link account on the Paypal website.","Para utilizar o Payflow Link, necessita de configurar a sua conta Payflow Link no site Paypal."
"Toggle Editor","Mudar Editor"
"Tools","Ferramentas"
"Top 5 Search Terms","5 Termos de Pesquisa mais utilizados"
"Total","Total"
"Total %d records found","Um total de %d resultados encontrados"
"Total Amount","Montante Total"
"Total Invoiced","Total Faturado"
"Total of %d record(s) have been deleted.","Um total de %d registos foram removidos"
"Total of %d record(s) have been updated.","Um total de %d registos foram atualizados"
"Total of %d record(s) were canceled.","Um total de %s registo(s) foi(ram) cancelados"
"Total of %d record(s) were successfully deleted","Um total de %d registo(s) foram corretamente removidos"
"Total of %d record(s) were successfully updated","Um total de %d registo(s) foram corretamente atualizados"
"Total Order Amount","Montante Total da Encomenda"
"Total Refunded","Total Reembolso"
"Track order","Seguir Encomenda"
"Track this shipment","Monitorize este envio"
"Tracking number %s for %s assigned","Número de monitorização %s para %s definido"
"Tracking number can not be empty.","O número de monitorização não pode ficar em branco"
"Tracking number cannot be empty.","O número de monitorização não pode estar em branco."
"Transaction Data","Dados Transação"
"Transaction Details","Detalhes Transação"
"Transaction ID","ID Transação"
"Transaction Type","Tipo de Transação"
"Transactional Emails","Emails de transações"
"Transactions","Transações"
"Try Magento Go for Free","Experimento o Magento Go gratuitamente"
"Type","Tipo"
"Type:","Tipo:"
"Unable to cancel the credit memo.","Não foi possível cancelar a nota de crédito."
"Unable to find a Email Template to delete.","Não foi possível encontrar o modelo de Email a remover."
"Unable to find a poll to delete","Incapaz de encontrar a sondagem para remover"
"Unable to find a poll to delete.","Não foi possível encontrar a sondagem a remover"
"Unable to find a tag to delete","Incapaz de encontrar a etiqueta para remover"
"Unable to find a tag to delete.","Não foi possível encontrar a etiqueta a remover"
"Unable to find a user to delete","Incapaz de encontrar o utilizador para remover"
"Unable to find a user to delete.","Não foi possível encontrar o utilizador a remover"
"Unable to initialize import model","Incapaz de iniciar o modelo de importação"
"Unable to refresh lifetime statistics.","Não foi possível atualizar as estatísticas globais."
"Unable to refresh recent statistics.","Não foi possível atualizar as estatísticas recentes."
"Unable to save Cron expression","Não foi possível guardar a expressão do Cron"
"Unable to save the cron expression.","Não foi possível guardar a expressão cron"
"Unable to save the invoice.","Não foi possível guardar a fatura."
"Unable to send the invoice email.","Não foi possível enviar o email da fatura."
"Unable to send the shipment email.","Não foi possível enviar o e-mail da expedição"
"Unable to void the credit memo.","Impossível eliminar a nota de crédito."
"Uninstall","Desinstalar"
"Uninstalling $pkg, please wait...","A desinstalar $pgk, por favor aguarde"
"Uninstalling selected packages, please wait...","A desinstalar pacotes selecionados, por favor aguarde..."
"Unknown","Desconhecido"
"Unknown error","Erro Desconhecido"
"Unknown Error.","Erro desconhecido."
"Unlimited","Ilimitado"
"Unselect All","Desmarcar todos"
"Unselect Visible","Desmarcar Visíveis"
"Update","Atualizar"
"Update Preview","Atualizar Pré-Visualização"
"Updated At","Atualizado A"
"Upgrade","Atualizar"
"Upgrade All Available Packages","Atualizar todos os pacotes disponíveis"
"Upgrade all packages","Atualizar todos os pacotes"
"Upgrading $pkg, please wait...","A atualizar $pkg, por favor aguarde..."
"Upgrading all available packages, please wait...","A atualizar todos os pacotes disponíveis, por favor aguarde"
"Upgrading all packages, please wait...","A atualizar todos os pacotes, por favor aguarde"
"Upgrading selected packages, please wait...","A atualizar todos os pacotes selecionados, por favor aguarde"
"Upload and Install","Carregar e Instalar"
"Upload File","Carregar Ficheiro"
"Upload Files","Carregar ficheiros"
"Upload HTTP Error","Erro de carregamento HTTP"
"Upload I/O Error","Erro I/O de carregamento"
"Upload import file","Carregar ficheiro de importação"
"Upload Local File","Carregar ficheiro local"
"Upload local file:","Carregar ficheiro local:"
"Upload Security Error","Erro de segurança no carregamento"
"URL Rewrite","Rescritas URL"
"URL Rewrite Information","Informação de Rescritas de URL"
"Url Rewrite Management","Gestão de rescritas de URL"
"Urlrewrite Information","Informação de rescrita de URL"
"Use All Available Attributes","Utilizar todos os atributos disponíveis."
"Use Config Settings","Utilizar definições de configuração"
"Use default","Utilizar por omissão"
"Use Default Value","Utilizar Valor por Omissão"
"Use Default Variable Values","Utilizar os valores por omissão das variáveis"
"Use Silent Post:","Utilizar Silent Post:"
"Use website","Utilizar site"
"Used as Default For","Utilizado Por Omissão Para"
"Used Currently For","Utilizado Atualmente Para"
"User","Utilizador"
"User Email","Email do Utilizador"
"User ID","User ID"
"User Info","Info do utilizador"
"User Information","Informação do Utilizador"
"User Name","Nome de Utilizador"
"User Name is required field.","O campo Nome de Utilizador é de preenchimento obrigatório."
"User Name:","Nome de utilizador:"
"User Role","Acesso Utilizador"
"User Roles","Acessos Utilizador"
"User Roles Information","Informação de acesso do Utilizador"
"User was successfully deleted","O Utilizador foi corretamente removido"
"User was successfully saved","O Utilizador foi corretamente guardado"
"User with the same User Name or Email aleady exists","Já existe um utilizador com o mesmo Email ou Nome de Utilizador"
"Users","Utilizadores"
"Validation Results","Resultados de Validação"
"Value","Valor"
"Value Delimiter:","Delimitação de Valor:"
"Variable","Variable"
"Variable Code","Código da Variável"
"Variable HTML Value","Valor da Variável HTML"
"Variable ID","ID Variável"
"Variable Name","Nome da Variável"
"Variable Plain Value","Valor Simples da Varável"
"Verification cannot be processed","Não foi possível processar a verificação"
"Verification Failed","Verificação Falhou"
"Verification Successful","Verificação efetuada com sucesso"
"Version","Versão"
"Version:","Versão:"
"View","Ver"
"View Actions XML","Ver Ações CML"
"View Details","Ver Detalhes"
"View Full Size","Ver Tamanho Completo"
"View Gallery","Ver Galeria"
"View Memo","Ver Nota"
"View Memo for #%s","Ver Nota para #%s"
"View Shipment","Ver Envio"
"View Statistics for","Ver Estatísticas para"
"Visibility:","Visibilidade:"
"Warning! Empty value can cause problems with CSV format.","Aviso! Valores vazios podem causar problemas com o formato CSV."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Atenção!rnEsta ação vai remover este utilizador de papeis já atribuídosrnTem a certeza?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Atenção!rnEsta ação vai remover os utilizadores de papeis já atribuídosrnTem a certeza?"
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Atenção!rnEsta ação vai remover o utilizador do acesso já atribuído nTem a certeza?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Atenção!rnEsta ação vai remover o utilizador dos acessos já atribuídos nTem a certeza?"
"Warning: All related AirMail messages will be deteted!n Are you sure you want to do this?","Atenção: Todas as mensagens AirMail relacionadas serão removidas. Tem a certeza que deseja fazer isto?"
"Warning: Please do not close the window during importing/exporting data","Atenção: Por favor não feche esta janela durante o processo de importação/exportação de dados"
"Warning: Please don't close window during importing/exporting data","Alerta: Por favor não feche a janela durante a importação/exportação de dados"
"Watermark File for %s","Criar marca de água no ficheiro com %s"
"We appreciate our merchants' feedback, please <a href="#" onclick="surveyAction('yes'); return false;">take our survey</a> to provide insight on the features you would like included in Magento. <a href="#" onclick="surveyAction('no'); return false;">Remove this notification</a>","Agradecemos o feedback dos nossos comerciantes, por favor <a href="#" onclick="surveyAction('yes'); return false;">responda ao nosso inquérito</a> para poder informar que tipo de funcionalidades gostaria de ver no Magento <a href="#" onclick="surveyAction('no'); return false;">Remover esta notificação</a>"
"We detected that your JavaScript seem to be disabled.","Detetamos que seu JavaScript parece estar desativado."
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Estamos a escrever na sua tabela, codificando mais características para o Magento. Obrigado pela sua paci&ecirc;ncia"
"Web Section","Secção Web"
"Web Services","Web Services"
"Website","Site"
"website(%s) scope","Âmbito site (%s)"
"Website: ","Site:"
"Websites","Sites"
"Websites / Stores","Sites/Lojas"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Estamos neste momento na nossa máquina de escrever, a definir mais funcionalidades para o Magento. Obrigado pela sua paciência."
"What is this?","O que é isto?"
"Wishlist item is not loaded.","Item da lista de presentes não carregado."
"Wishlist Report","Relatório da Lista de Presentes"
"Wrong billing agreement ID specified.","ID de condições de faturação inválido."
"Wrong column format","Formato da coluna incorreto"
"Wrong column format.","Erro no formato da coluna."
"Wrong newsletter template.","Erro no template da newsletter."
"Wrong quote item.","Cotação Errada"
"Wrong tab configuration","Configuração do separador incorreta"
"Wrong tab configuration.","Configuração de separador errada."
"Wrong tag was specified.","Separador errado especificado."
"Wrong transaction ID specified.","ID transação errado especificado"
"XML","XML"
"XML data is invalid.","Dados XML inválidos."
"XML object is not instance of "Varien_Simplexml_Element".","O objeto XML não é uma instância de "Varien_Simplexml_Element"."
"Year","Ano"
"Yes","Sim"
"Yes (301 Moved Permanently)","Sim (301 Movido Permanentemente)"
"Yes (302 Found)","Sim (302 Encontrado)"
"Yes (only price with tax)","Sim (apenas preço com imposto)"
"You can not delete self assigned roles.","Não pode desmarcar acessos atribuídos a si"
"You cannot delete account of yourself","Não pode remover a sua própria conta"
"You cannot delete your own account.","Não pode remover a sua própria conta."
"You have","Você tem"
"You have %s unread message(s).","Tem %s mensagens não-lidas"
"You have logged out.","Terminou a sessão."
"You have not enough permissions to use this functionality.","Não possui todos os privilégios para usar esta funcionalidade."
"You have not enought permissions to login.","Não tem permissões suficientes para iniciar sessão"
"You have not enought permissions to use this functionality.","Não tem permissões suficientes para utilizar esta funcionalidade."
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Precisa de ter o JavaScript ativo no seu browser para utilizar a funcionalidade deste site."
"You need specify carrier.","Necessita de especificar o transportador"
"You need to specify order items","Necessita de especificar itens na encomenda"
"You need to specify order items.","Precisa de especificar os itens da encomenda."
"You successfully logged out.","Terminou a sua sessão com sucesso"
"Your answers contain duplicates.","Tem algumas respostas duplicadas"
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","As configurações do PHP permitem-lhe carregar não mais que %s ficheiros ao mesmo tempo. Por favor modifique os valores de post_max_size (atualmente é %s) e upload_max_filesize (atualmente é %s) no ficheiro php.ini se deseja carregar ficheiros maiores."
"Your web server is configured incorrectly. As a result, configuration files with sensitive information are accessible from the outside. Please contact your hosting provider.","O seu servidor não está corretamente configurado. Como resultado, os ficheiros de configuração com informação sensível estão acessíveis a partir do exterior. Por favor contacte o seu fornecedor de serviços."
"YTD","1 Ano até à data"
"Zip/Postal Code","Código Postal"
"Zip/Postal Code:","Código Postal:"
"[ deleted ]","[ removido ]"
"[deleted]","[removido]"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[VISTA DA LOJA]"
"[WEBSITE]","[WEBSITE]"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure Url / Base Secure Url. It is highly recommended to change this value in your Magento <a href="%s">configuration</a>.","Não é recomendado o uso de {{base_url}} em produção para declarar URL base segura. É altamente recomendável que altere este valor na <a href="%s">configuração</a>."
